,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema,ema_slow,sell,buy
0,202409100300,1.10391,1.10347,1.10383,1.10347,2432,H1,1,,,1.10383,1.10383,0,0
1,202409100400,1.10405,1.1036,1.104,1.10383,2199,H1,1,,,1.1039235,1.1039167,0,0
2,202409100500,1.10427,1.10382,1.10392,1.104,2839,H1,1,,,1.1039220930232558,1.1039178442874285,0,0
3,202409100600,1.10496,1.10336,1.10496,1.10392,8341,H1,1,,1.0,1.1042640371287127,1.1041942197321073,1,-1
4,202409100700,1.10496,1.10367,1.1037,1.10496,11917,H1,1,,,1.1041021174094623,1.1040873133941707,1,0
5,202409100800,1.104,1.10336,1.10377,1.1037,7928,H1,1,,,1.1040158550462855,1.1040290012152223,1,0
6,202409100900,1.10422,1.10323,1.10385,1.10377,7127,H1,1,,,1.1039758906426882,1.1040002609322144,1,0
7,202409101000,1.10417,1.10337,1.10403,1.10385,7063,H1,1,,,1.1039882007822444,1.1040045191096648,1,0
8,202409101100,1.10438,1.10266,1.1031199999999999,1.10403,8686,H1,1,,,1.103799310674078,1.1038897970941388,1,0
9,202409101200,1.10368,1.10264,1.10298,1.1031199999999999,13552,H1,1,,,1.103627209415945,1.1037815877607065,1,0
10,202409101300,1.10349,1.10173,1.10195,1.10298,14781,H1,1,,,1.1032845765006416,1.1035798273828246,1,0
11,202409101400,1.10235,1.10151,1.10186,1.10195,16192,H1,1,1.0,,1.1029999487230777,1.103402927419477,-1,1
12,202409101500,1.10272,1.10173,1.1025099999999999,1.10186,11353,H1,1,,,1.1029037868541596,1.1033165772942568,0,1
13,202409101600,1.10289,1.1022399999999999,1.10267,1.1025099999999999,8557,H1,1,,,1.1028585553273191,1.1032574495285803,0,1
14,202409101700,1.10279,1.10225,1.10229,1.10267,7587,H1,1,,,1.1027498223230068,1.1031733704431936,0,1
15,202409101800,1.10271,1.10205,1.10244,1.10229,5682,H1,1,,,1.1026911238513444,1.103112536031258,0,1
16,202409101900,1.10276,1.10222,1.10269,1.10244,5537,H1,1,,1.0,1.102690912542623,1.1030789546201014,1,-1
17,202409102000,1.10271,1.10181,1.10194,1.10269,3365,H1,1,,,1.1025505949995504,1.1029919385139557,1,0
18,202409102100,1.10194,1.10174,1.10187,1.10194,369,H1,1,1.0,,1.1024240555126241,1.1029092954611737,-1,1
19,202409102200,1.10215,1.10184,1.10198,1.10187,1076,H1,1,,,1.1023418322410268,1.1028431220387358,0,1
20,202409102300,1.10237,1.10193,1.102,1.10198,2068,H1,1,,,1.1022787481728777,1.1027849460609864,0,1
21,202409110000,1.10228,1.10167,1.102,1.102,6027,H1,1,,,1.1022274460588561,1.1027323508122797,0,1
22,202409110100,1.104,1.10181,1.10381,1.102,9194,H1,1,,,1.102518059622239,1.1028026062655598,0,1
23,202409110200,1.10443,1.10327,1.10331,1.10381,5955,H1,1,,,1.1026632243747487,1.102834847367034,0,1
24,202409110300,1.10425,1.10315,1.10385,1.10331,5159,H1,1,,,1.1028804410193425,1.1028978208254956,0,1
25,202409110400,1.1047,1.10378,1.10466,1.10385,5133,H1,1,,1.0,1.1032057608213612,1.1030046962828282,1,-1
26,202409110500,1.10515,1.10427,1.10437,1.10466,6532,H1,1,,,1.1034183837669,1.1030857638093374,1,0
27,202409110600,1.1049,1.10406,1.1045,1.10437,9327,H1,1,,,1.1036157575466525,1.1031680772548715,1,0
28,202409110700,1.10519,1.10403,1.10412,1.1045,12270,H1,1,,,1.1037077110244096,1.1032224500379837,1,0
29,202409110800,1.10479,1.10364,1.10437,1.10412,10100,H1,1,,,1.1038284204503666,1.1032868439745427,1,0
30,202409110900,1.1049,1.10419,1.1042,1.10437,8832,H1,1,,,1.1038961149228372,1.1033372335519436,1,0
31,202409111000,1.10489,1.10385,1.10487,1.1042,7676,H1,1,,1.0,1.1040734733707365,1.1034204851342713,1,-1
32,202409111100,1.10548,1.10427,1.10436,1.10487,9126,H1,1,,,1.1041256385319447,1.1034707554726615,1,0
33,202409111200,1.10488,1.10033,1.10162,1.10436,37722,H1,1,,,1.1036695713857019,1.1033731229260038,1,0
34,202409111300,1.10262,1.10097,1.10128,1.10162,25680,H1,1,,,1.1032347165247474,1.1032641795948535,1,0
35,202409111400,1.10153,1.10019,1.1010199999999999,1.10128,24921,H1,1,1.0,,1.1028317471188056,1.1031488539530119,-1,1
36,202409111500,1.10168,1.10076,1.1012,1.1010199999999999,15103,H1,1,,,1.1025348888165576,1.103049909197694,0,1
37,202409111600,1.10177,1.10097,1.10158,1.1012,10731,H1,1,,,1.102361187926745,1.1029761333058414,0,1
38,202409111700,1.10209,1.1015,1.10185,1.10158,10469,H1,1,,1.0,1.1022682075536214,1.1029202253894996,1,-1
39,202409111800,1.10227,1.10179,1.10182,1.10185,8085,H1,1,,,1.1021866886484932,1.1028661675310536,1,0
40,202409111900,1.10266,1.10158,1.10174,1.10182,8252,H1,1,,,1.1021054508235215,1.1028113784307632,1,0
41,202409112000,1.10181,1.10108,1.10119,1.10174,3096,H1,1,,,1.101938968822721,1.102733234168861,1,0
42,202409112100,1.10137,1.10074,1.10119,1.10119,814,H1,1,,,1.1018027683106728,1.1026595181693666,1,0
43,202409112200,1.10148,1.10113,1.10122,1.10119,929,H1,1,,,1.1016967949268168,1.1025913394269222,1,0
44,202409112300,1.10128,1.1010199999999999,1.1010199999999999,1.10122,2102,H1,1,,,1.1015737265674574,1.1025175187213059,1,0
45,202409120000,1.10118,1.10059,1.10066,1.1010199999999999,4835,H1,1,1.0,,1.1014075781867712,1.10243092575166,-1,1
46,202409120100,1.1012899999999999,1.10063,1.10103,1.10066,5820,H1,1,,,1.101338922104089,1.1023660978740983,0,1
47,202409120200,1.10124,1.10075,1.10097,1.10103,3845,H1,1,,,1.1012718409585054,1.1023019462747274,0,1
48,202409120300,1.1014,1.10096,1.10135,1.10097,3021,H1,1,,,1.1012860524558952,1.1022584963617454,0,1
49,202409120400,1.10169,1.10135,1.1016299999999999,1.10135,2458,H1,1,,,1.1013485911186212,1.1022299929581854,0,1
50,202409120500,1.10219,1.10151,1.10218,1.1016299999999999,3957,H1,1,,,1.1014997617998907,1.1022277395177775,0,1
51,202409120600,1.10238,1.10076,1.1008,1.10218,8178,H1,1,,,1.1013725286424214,1.1021637588286852,0,1
52,202409120700,1.10158,1.10059,1.10076,1.1008,11986,H1,1,1.0,,1.1012611571203186,1.1021012028949173,-1,1
53,202409120800,1.10218,1.10054,1.10155,1.10076,10999,H1,1,,,1.1013136750407657,1.1020767702036107,0,1
54,202409120900,1.10201,1.10126,1.10144,1.10155,8284,H1,1,,,1.1013366435848926,1.102048688156364,0,1
55,202409121000,1.10235,1.10144,1.10218,1.10144,8210,H1,1,,,1.1014899831344143,1.1020544509562353,0,1
56,202409121100,1.10234,1.10128,1.10136,1.10218,8052,H1,1,,,1.1014663495825832,1.1020241157123893,0,1
57,202409121200,1.10325,1.10086,1.1025,1.10136,29783,H1,1,,,1.1016542876790454,1.1020448110135934,0,1
58,202409121300,1.10408,1.10246,1.10367,1.1025,22487,H1,1,,,1.1020207834719884,1.1021151867131862,0,1
59,202409121400,1.10471,1.10297,1.10398,1.10367,18068,H1,1,,,1.1023770067612821,1.102195610161798,0,1
60,202409121500,1.10428,1.10307,1.10401,1.10398,11011,H1,1,,,1.102673916056583,1.102273554159283,0,1
61,202409121600,1.1048,1.1037,1.10461,1.10401,8718,H1,1,,,1.1030259327097829,1.102373550754587,0,1
62,202409121700,1.10567,1.10425,1.10563,1.10461,11141,H1,1,,,1.10349940102031,1.1025124246292621,0,1
63,202409121800,1.10624,1.10511,1.1060699999999999,1.10563,13034,H1,1,,,1.1039667838891034,1.1026636216450993,0,1
64,202409121900,1.10717,1.10598,1.10703,1.1060699999999999,11391,H1,1,,,1.1045237334780897,1.1028485853200012,0,1
65,202409122000,1.10751,1.10684,1.10743,1.10703,5775,H1,1,,,1.1050521465085215,1.103042049640324,0,1
66,202409122100,1.10743,1.10715,1.10738,1.10743,224,H1,1,,,1.105475393210982,1.103224682769312,0,1
67,202409122200,1.10757,1.10703,1.10716,1.10738,1533,H1,1,,,1.1057816857174547,1.103389887831015,0,1
68,202409122300,1.10791,1.10716,1.10789,1.10716,2938,H1,1,,,1.1061650159587242,1.1035782822454638,0,1
69,202409130000,1.10874,1.10775,1.10871,1.10789,6196,H1,1,,1.0,1.1066277406969873,1.1037925509048965,1,-1
70,202409130100,1.10889,1.10802,1.10819,1.10871,6531,H1,1,,,1.1069117880273758,1.1039756962241805,1,0
71,202409130200,1.10899,1.10793,1.10867,1.10819,5608,H1,1,,,1.107231463101273,1.1041707305708095,1,0
72,202409130300,1.10901,1.1084,1.1086799999999999,1.10867,4511,H1,1,,,1.107494833560943,1.1043576415388043,1,0
73,202409130400,1.10883,1.1084,1.10843,1.1086799999999999,4198,H1,1,,,1.1076648638830422,1.1045260659991472,1,0
74,202409130500,1.10863,1.10815,1.10825,1.10843,4289,H1,1,,,1.1077712522988914,1.1046797510963378,1,0
75,202409130600,1.10846,1.10745,1.10788,1.10825,8883,H1,1,1.0,,1.1077910246128897,1.1048115532386393,-1,1
76,202409130700,1.10941,1.1073,1.10924,1.10788,11191,H1,1,,,1.1080544747345753,1.1049935802059392,0,1
77,202409130800,1.1094,1.10856,1.10926,1.10924,10952,H1,1,,,1.1082736611813928,1.1051686166860137,0,1
78,202409130900,1.11008,1.10882,1.10919,1.10926,11375,H1,1,,,1.10844026826104,1.1053333019426028,0,1
79,202409131000,1.1097299999999999,1.10867,1.10904,1.10919,9207,H1,1,,,1.1085493104070263,1.1054848369146282,0,1
80,202409131100,1.10931,1.1081,1.10841,1.10904,10519,H1,1,,,1.1085239812399021,1.1056042227884084,0,1
81,202409131200,1.10933,1.1078999999999999,1.1093,1.10841,15532,H1,1,,,1.1086650755699938,1.1057548194392457,0,1
82,202409131300,1.11019,1.10879,1.10943,1.1093,20543,H1,1,,1.0,1.1088041527472101,1.105904347642034,1,-1
83,202409131400,1.10955,1.10844,1.10889,1.10943,22621,H1,1,,,1.1088197613393724,1.1060256434002373,1,0
84,202409131500,1.10918,1.10819,1.10845,1.10889,12747,H1,1,,,1.108752532002312,1.1061239971047698,1,0
85,202409131600,1.1085099999999999,1.10768,1.10838,1.10845,10776,H1,1,,,1.1086847989088155,1.1062153971768587,1,0
86,202409131700,1.10858,1.10801,1.10816,1.10838,7098,H1,1,,,1.1085893809228966,1.1062940789686637,1,0
87,202409131800,1.10846,1.10765,1.10779,1.10816,7034,H1,1,,,1.1084440389338024,1.106354531046061,1,0
88,202409131900,1.10813,1.1076,1.10778,1.10779,11068,H1,1,,,1.1083233045800862,1.1064120672754125,1,0
89,202409132000,1.10782,1.10719,1.10719,1.10778,4264,H1,1,,,1.1081172491989344,1.1064434310035374,1,0
90,202409141300,1.10719,1.10718,1.10719,1.10719,20,H1,1,,,1.107948658433514,1.1064734971426344,1,0
91,202409141400,1.10719,1.10718,1.10719,1.10719,24,H1,1,,,1.1078107205351877,1.1065023219854522,1,0
92,202409141500,1.10719,1.10718,1.10719,1.10719,4,H1,1,,,1.1076978622551765,1.1065299591773505,1,0
93,202409151900,1.10719,1.10696,1.1071199999999999,1.10719,124,H1,1,1.0,,1.107592796389924,1.1065536493524977,-1,1
94,202409152000,1.10783,1.1071199999999999,1.10762,1.1071199999999999,78,H1,1,,,1.1075977425008727,1.1065964234292436,0,1
95,202409152100,1.10762,1.10742,1.10751,1.10762,1304,H1,1,,,1.1075817893188273,1.1066330365053825,0,1
96,202409152200,1.10874,1.10742,1.10869,1.10751,4514,H1,1,,,1.1077832821706588,1.1067154017712506,0,1
97,202409152300,1.10894,1.1085,1.10873,1.10869,6132,H1,1,,,1.1079554126855802,1.1067960040244509,0,1
98,202409160000,1.10923,1.1087,1.10894,1.10873,8196,H1,1,,,1.108134428561351,1.1068817153603017,0,1
99,202409160100,1.10926,1.10874,1.10878,1.10894,8506,H1,1,,,1.1082518051867862,1.1069575460418515,0,1
100,202409160200,1.1091,1.10866,1.1089,1.10878,7628,H1,1,,,1.1083696587893745,1.107035084451931,0,1
101,202409160300,1.11047,1.10879,1.1104,1.1089,11554,H1,1,,,1.1087388117372374,1.1071693101055093,0,1
102,202409160400,1.11047,1.10968,1.1097,1.1104,8376,H1,1,,,1.1089135732397424,1.1072701907025937,0,1
103,202409160500,1.10995,1.1095599999999999,1.10982,1.1097,7122,H1,1,,,1.1090783781053861,1.1073717677138282,0,1
104,202409160600,1.11157,1.10974,1.11145,1.10982,17534,H1,1,,,1.10950958208653,1.1075341317710083,0,1
105,202409160700,1.11199,1.1109499999999999,1.11148,1.11145,24050,H1,1,,,1.1098678398891861,1.1076911324241565,0,1
106,202409160800,1.11261,1.11138,1.11227,1.11148,22352,H1,1,,,1.1103045962731772,1.1078732149267547,0,1
107,202409160900,1.11293,1.1118,1.11206,1.11227,20718,H1,1,,,1.1106237605872684,1.1080396143955618,0,1
108,202409161000,1.11282,1.112,1.11219,1.11206,17894,H1,1,,,1.1109085313896734,1.1082044801086928,0,1
109,202409161100,1.11257,1.11159,1.11236,1.11219,16660,H1,1,,,1.1111724347734375,1.1083694660735455,0,1
110,202409161200,1.11326,1.11163,1.11248,1.11236,30534,H1,1,,,1.1114101739055902,1.1085325865019326,0,1
111,202409161300,1.11376,1.11225,1.11294,1.11248,32816,H1,1,,1.0,1.111688324104622,1.108707406369309,1,-1
112,202409161400,1.11306,1.1118,1.11237,1.11294,32222,H1,1,,,1.1118122651765265,1.1088526177493512,1,0
113,202409161500,1.11244,1.11165,1.11225,1.11237,23280,H1,1,,,1.1118918533262583,1.1089872561645118,1,0
114,202409161600,1.11301,1.11193,1.11288,1.11225,17420,H1,1,,,1.1120715163578647,1.109141461885455,1,0
115,202409161700,1.113,1.1116,1.11233,1.11288,14542,H1,1,,,1.112118513383711,1.1092677212159316,1,0
116,202409161800,1.11244,1.11196,1.11209,1.11233,14574,H1,1,1.0,,1.112113329132127,1.1093794347600476,-1,1
117,202409161900,1.11297,1.11186,1.11289,1.11209,13008,H1,1,,,1.1122545420172023,1.1095183415849947,0,1
118,202409162000,1.11336,1.11279,1.11326,1.11289,6272,H1,1,,1.0,1.1124373525595368,1.109666340181207,1,-1
119,202409162100,1.11326,1.11304,1.11304,1.11326,826,H1,1,,,1.112546924821443,1.1097997376914708,1,0
120,202409162200,1.11315,1.11267,1.11273,1.11304,2486,H1,1,,,1.1125802112175454,1.10991556520227,1,0
121,202409162300,1.11299,1.11232,1.11292,1.11273,6074,H1,1,,,1.112641990996175,1.1100342875230576,1,0
122,202409170000,1.11311,1.11218,1.11229,1.11292,9748,H1,1,1.0,,1.1125779926332329,1.1101233968297297,-1,1
123,202409170100,1.11294,1.11226,1.11277,1.11229,10472,H1,1,,,1.1126129030635548,1.1102279177019705,0,1
124,202409170200,1.11292,1.1127,1.11271,1.11277,2482,H1,1,,,1.1126305570519996,1.110325914117174,0,1
